# -*- ck2.landed_titles -*-

# HOLY ORDERS
d_knights_templar = { # Knights Templar
	color = { 230 230 230 }
				cuman = "Khopër"
				kirghiz = "Khopër"
				bolghar = "Khopër"
				uyghur = "Khopër"
				turkish = "Khopër"
				b_atkarsk = {
					lithuanian = "Atkaras"
					prussian = "Atkaras"
					lettigallish = "Atkaras"
					russian = "Atkarsk"
					khazar = "Ïtkar"
					pecheneg = "Ïtkar"
					oghuz = "Ïtkar"
					turkmen = "Ïtkar"
					kasogi = "Ïtkar"
					avar = "Ïtkar"
					bashkir = "Ïtkar"
					karluk = "Ïtkar"
					mongol = "Ïtkar"
					cuman = "Ïtkar"
					kirghiz = "Ïtkar"
					bolghar = "Ïtkar"
					uyghur = "Ïtkar"
					turkish = "Ïtkar"
				}
				b_bezdezh = {}
				b_medveditsa = {
					lithuanian = "Medvedicas"
					prussian = "Medvedicas"
					lettigallish = "Medvedicas"
					khazar = "Medvedïca"
					pecheneg = "Medvedïca"
					oghuz = "Medvedïca"
					turkmen = "Medvedïca"
					kasogi = "Medvedïca"
					avar = "Medvedïca"
					bashkir = "Medvedïca"
					karluk = "Medvedïca"
					mongol = "Medvedïca"
					cuman = "Medvedïca"
					kirghiz = "Medvedïca"
					bolghar = "Medvedïca"
					uyghur = "Medvedïca"
					turkish = "Medvedïca"
					thuringian = "Medwediza"
					swabian = "Medwediza"
					bavarian = "Medwediza"
					low_saxon = "Medwediza"
					franconian = "Medwediza"
					low_german = "Medwediza"
					low_frankish = "Medwediza"
					german = "Medwediza"
					polish = "Miedwiedica"
					bohemian = "Medvedica"
					pommeranian = "Miedwiedica"
					moravian = "Medvedica"
				}
			} # end c_khopyor
			c_mordva = { # Moksha (579)
				color = { 246 186 25 }
				color2 = { 255 255 255 }
				khazar = "Mäqshä"
				pecheneg = "Mukshi"
				oghuz = "Mukshi"
				turkmen = "Mukshi"
				kasogi = "Muqshi"
				avar = "Mäqshä"
				bashkir = "Muqshi"
				karluk = "Muqshi"
				mongol = "Muqshi"
				cuman = "Muqshi"
				kirghiz = "Muqshi"
				bolghar = "Mäqshä"
				uyghur = "Muqshi"
				turkish = "Mukshi"
				khitan = "Muqshi"
				mordvin = "Jov"
				karelian = "Jov"
				samoyed = "Jov"
				vepsian = "Jov"
				mari = "Jov"
				khanty = "Jov"
				lappish = "Jov"
				komi = "Jov"
				finnish = "Jov"
				ugricbaltic = "Jov"
				livonian = "Jov"
				b_michurinsk = {}
				b_tambov = {}
				b_mokshi = {
					russian = "Naruchad'"
					polish = "Naruchad'"
					bohemian = "Naruchad'"
					pommeranian = "Naruchad'"
					moravian = "Naruchad'"
					serbian = "Naruchad'"
					croatian = "Naruchad'"
					bulgarian = "Naruchad'"
					karantanci = "Naruchad'"
					bosnian = "Naruchad'"
					mordvin = "Jov"
					karelian = "Jov"
					samoyed = "Jov"
					vepsian = "Jov"
					mari = "Jov"
					khanty = "Jov"
					lappish = "Jov"
					komi = "Jov"
					finnish = "Jov"
					ugricbaltic = "Jov"
					livonian = "Jov"
				}
			} # end c_mordva
		} # end d_mordva
		d_podonye = { # Qaratayak
			color = { 143 183 22 }
			color2 = { 255 255 255 }
			capital = 608 # Qaratayak # Karatyak/Voroneszh
			russian = "Podonye"
			lithuanian = "Voronežas"
			prussian = "Voronežas"
			lettigallish = "Voronežas"
			thuringian = "Woronesch"
			swabian = "Woronesch"
			bavarian = "Woronesch"
			low_saxon = "Woronesch"
			franconian = "Woronesch"
			low_german = "Woronesch"
			low_frankish = "Woronesch"
			german = "Woronesch"
			dutch = "Woronesch"
			bohemian = "Voronež"
			moravian = "Voronež"
			polish = "Voronež"
			pommeranian = "Voronež"
			serbian = "Voronež"
			croatian = "Voronež"
			bulgarian = "Voronež"
			karantanci = "Voronež"
			bosnian = "Voronež"
			c_lower_volga = { # Qaratayak (608) # Voroneszh
				color = { 238 202 107 }
				color2 = { 255 255 255 }
				lithuanian = "Voronežas"
				prussian = "Voronežas"
				lettigallish = "Voronežas"
				thuringian = "Woronesch"
				swabian = "Woronesch"
				bavarian = "Woronesch"
				low_saxon = "Woronesch"
				franconian = "Woronesch"
				low_german = "Woronesch"
				low_frankish = "Woronesch"
				german = "Woronesch"
				dutch = "Woronesch"
				bohemian = "Voronež"
				moravian = "Voronež"
				russian = "Voronež"
				pommeranian = "Voronež"
				serbian = "Voronež"
				croatian = "Voronež"
				bulgarian = "Voronež"
				karantanci = "Voronež"
				bosnian = "Voronež"
				b_lipetsk = { russian = "Lipeck" }
				b_korotoyak = {
					pecheneg = "Karatyak"
					oghuz = "Karatyak"
					turkmen = "Karatyak"
					turkish = "Karatyak"
					russian = "Korotoyak"
					polish = "Korotoyak"
					bohemian = "Korotoyak"
					pommeranian = "Korotoyak"
					moravian = "Korotoyak"
					serbian = "Korotoyak"
					croatian = "Korotoyak"
					bulgarian = "Korotoyak"
					karantanci = "Korotoyak"
					bosnian = "Korotoyak"
				}
				b_voronezh = {
					lithuanian = "Voronežas"
					prussian = "Voronežas"
					lettigallish = "Voronežas"
					thuringian = "Woronesch"
					swabian = "Woronesch"
					bavarian = "Woronesch"
					low_saxon = "Woronesch"
					franconian = "Woronesch"
					low_german = "Woronesch"
					low_frankish = "Woronesch"
					german = "Woronesch"
					bohemian = "Voronež"
					moravian = "Voronež"
					russian = "Voronež"
					polish = "Voronež"
					pommeranian = "Voronež"
					serbian = "Voronež"
					croatian = "Voronež"
					bulgarian = "Voronež"
					karantanci = "Voronež"
					bosnian = "Voronež"
				}
			} # end c_lower_volga
			c_desht-i-kipchak = { # Vskol' (564) # Oskol
				color = { 242 206 111 }
				color2 = { 255 255 255 }
				lithuanian = "Oskolas"
				prussian = "Oskolas"
				lettigallish = "Oskolas"
				khazar = "Esen"
				pecheneg = "Esen"
				oghuz = "Esen"
				turkmen = "Esen"
				kasogi = "Esen"
				avar = "Esen"
				bashkir = "Esen"
				karluk = "Esen"
				mongol = "Esen"
				cuman = "Esen"
				kirghiz = "Esen"
				bolghar = "Esen"
				uyghur = "Esen"
				turkish = "Esen"
				b_stary_oskol = {
					lithuanian = "Oskolas"
					prussian = "Oskolas"
					lettigallish = "Oskolas"
				}
				b_korshev = {}
				b_mayaki = {}
				b_osen = {
					khazar = "Esen"
					pecheneg = "Esen"
					oghuz = "Esen"
					turkmen = "Esen"
					kasogi = "Esen"
					avar = "Esen"
					bashkir = "Esen"
					karluk = "Esen"
					mongol = "Esen"
					cuman = "Esen"
					kirghiz = "Esen"
					bolghar = "Esen"
					uyghur = "Esen"
					turkish = "Esen"
				}
			} # end c_desht-i-kipchak
		} # end d_podonye
		d_sura = { # Sura
			color = { 88 165 4 }
			color2 = { 255 255 255 }
			capital = 590 # Sura
			mordvin = "Šur"
			karelian = "Šur"
			samoyed = "Šur"
			vepsian = "Šur"
			mari = "Šur"
			khanty = "Šur"
			lappish = "Šur"
			komi = "Šur"
			finnish = "Šur"
			ugricbaltic = "Šur"
			livonian = "Šur"
			khazar = "Sär"
			pecheneg = "Siri"
			oghuz = "Siri"
			turkmen = "Siri"
			kasogi = "Siri"
			avar = "Sär"
			bashkir = "Siri"
			karluk = "Siri"
			mongol = "Siri"
			cuman = "Siri"
			kirghiz = "Siri"
			bolghar = "Sär"
			uyghur = "Siri"
			turkish = "Siri"
			c_chuvash = { # Sura (590)
				color = { 237 177 16 }
				color2 = { 255 255 255 }
				mordvin = "Šur"
				karelian = "Šur"
				samoyed = "Šur"
				vepsian = "Šur"
				mari = "Šur"
				khanty = "Šur"
				lappish = "Šur"
				komi = "Šur"
				finnish = "Šur"
				ugricbaltic = "Šur"
				livonian = "Šur"
				khazar = "Sär"
				pecheneg = "Siri"
				oghuz = "Siri"
				turkmen = "Siri"
				kasogi = "Siri"
				avar = "Sär"
				bashkir = "Siri"
				karluk = "Siri"
				mongol = "Siri"
				cuman = "Siri"
				kirghiz = "Siri"
				bolghar = "Sär"
				uyghur = "Siri"
				turkish = "Siri"
				b_kurmysh = {
					khazar = "Kärmäš"
					pecheneg = "Kormyš"
					oghuz = "Kormyš"
					turkmen = "Kormyš"
					kasogi = "Kormyš"
					avar = "Kärmäš"
					bashkir = "Kormyš"
					karluk = "Kormyš"
					mongol = "Kormyš"
					cuman = "Kormyš"
					kirghiz = "Kormyš"
					bolghar = "Kärmäš"
					uyghur = "Kormyš"
					turkish = "Kormyš"
				}
				b_yadrin = {
					mordvin = "Yadyrna"
					karelian = "Yadyrna"
					samoyed = "Yadyrna"
					vepsian = "Yadyrna"
					mari = "Yadyrna"
					khanty = "Yadyrna"
					lappish = "Yadyrna"
					komi = "Yadyrna"
					finnish = "Yadyrna"
					ugricbaltic = "Yadyrna"
					livonian = "Yadyrna"
					khazar = "Yeterne"
					pecheneg = "Yeterne"
					oghuz = "Yeterne"
					turkmen = "Yeterne"
					kasogi = "Yeterne"
					avar = "Yeterne"
					bashkir = "Yeterne"
					karluk = "Yeterne"
					mongol = "Yeterne"
					cuman = "Yeterne"
					kirghiz = "Yeterne"
					bolghar = "Yeterne"
					uyghur = "Yeterne"
					turkish = "Yeterne"
				}
				b_tsivislsk = {
					khazar = "Serpü"
					pecheneg = "Chuyel"
					oghuz = "Chuyel"
					turkmen = "Chuyel"
					kasogi = "Chuyel"
					avar = "Serpü"
					bashkir = "Chuyel"
					karluk = "Chuyel"
					mongol = "Chuyel"
					cuman = "Chuyel"
					kirghiz = "Chuyel"
					bolghar = "Serpü"
					uyghur = "Chuyel"
					turkish = "Chuyel"
				}
				b_cheboksary = {
					khazar = "Šupaškär"
					pecheneg = "Šupaškar"
					oghuz = "Šupaškar"
					turkmen = "Šupaškar"
					kasogi = "Šupaškar"
					avar = "Šupaškär"
					bashkir = "Šupaškar"
					karluk = "Šupaškar"
					mongol = "Šupaškar"
					cuman = "Šupaškar"
					kirghiz = "Šupaškar"
					bolghar = "Šupaškär"
					uyghur = "Šupaškar"
					turkish = "Šupaškar"
					mordvin = "Šaravar"
					karelian = "Šaravar"
					samoyed = "Šaravar"
					vepsian = "Šaravar"
					mari = "Šaravar"
					khanty = "Šaravar"
					lappish = "Šaravar"
					komi = "Šaravar"
					finnish = "Šaravar"
					ugricbaltic = "Šaravar"
					livonian = "Šaravar"
				}
			} # end c_chuvash
			c_mountain_cheremisa = { # Alatyr' (591) # Alatyr
				color = { 240 180 19 }
				color2 = { 255 255 255 }
				mordvin = "Rator"
				karelian = "Rator"
				samoyed = "Rator"
				vepsian = "Rator"
				mari = "Rator"
				khanty = "Rator"
				lappish = "Rator"
				komi = "Rator"
				finnish = "Rator"
				ugricbaltic = "Rator"
				livonian = "Rator"
				lithuanian = "Alatyris"
				prussian = "Alatyris"
				lettigallish = "Alatyris"
				khazar = "Ulatär"
				avar = "Ulatär"
				bolghar = "Ulatär"
				b_saransk = {
					mordvin = "Saranosh"
					karelian = "Saranosh"
					samoyed = "Saranosh"
					vepsian = "Saranosh"
					mari = "Saranosh"
					khanty = "Saranosh"
					lappish = "Saranosh"
					komi = "Saranosh"
					finnish = "Saranosh"
					ugricbaltic = "Saranosh"
					livonian = "Saranosh"
					lithuanian = "Saranskas"
					prussian = "Saranskas"
					lettigallish = "Saranskas"
				}
				b_alatyr = {
					mordvin = "Ratorosh"
					karelian = "Ratorosh"
					samoyed = "Ratorosh"
					vepsian = "Ratorosh"
					mari = "Ratorosh"
					khanty = "Ratorosh"
					lappish = "Ratorosh"
					komi = "Ratorosh"
					finnish = "Ratorosh"
					ugricbaltic = "Ratorosh"
					livonian = "Ratorosh"
					lithuanian = "Alatyris"
					prussian = "Alatyris"
					lettigallish = "Alatyris"
				}
			} # end c_mountain_cheremisa
		} # end d_sura
		allow = { title_king_basic_allow = yes }
	} # end k_volga_bulgaria
	##### Finnish
	k_finland = { # Suomi
		color = { 140 65 65 }
		color2 = { 255 255 255 }
		capital = 381 # Nyland # Uusimaa
		culture = finnish
		catholic = 40 # Crusade target weight
		finnish_pagan_reformed = 500 # Crusade target weight
		norse_pagan_reformed = 150 # Crusade target weight
		danish = "Østærland"
		swedish = "Österland"
		anglonorse = "Finlandi"
		gothic = "Österland"
		norwegian = "Finlandi"
		norse = "Finlandi"
		saxon = "Cwenaland"
		mordvin = "Suomi"
		karelian = "Suomi"
		samoyed = "Suomi"
		vepsian = "Suomi"
		mari = "Suomi"
		khanty = "Suomi"
		lappish = "Suomi"
		komi = "Suomi"
		finnish = "Suomi"
		ugricbaltic = "Suomi"
		livonian = "Suomi"
		prussian = "Suomi"
		lettigallish = "Suomi"
		lithuanian = "Suomi"
		d_finland = { # Suomi
			color = { 4 86 184 }
			color2 = { 255 255 255 }
			capital = 382 # Finland # Suomi
			danish = "Østærland"
			swedish = "Österland"
			anglonorse = "Finlandi"
			gothic = "Österland"
			norwegian = "Finlandi"
			norse = "Finlandi"
			mordvin = "Suomi"
			karelian = "Suomi"
			samoyed = "Suomi"
			vepsian = "Suomi"
			mari = "Suomi"
			khanty = "Suomi"
			lappish = "Suomi"
			komi = "Suomi"
			finnish = "Suomi"
			ugricbaltic = "Suomi"
			livonian = "Suomi"
			prussian = "Suomi"
			lettigallish = "Suomi"
			lithuanian = "Suomi"
			culture = finnish
			c_finland = { # Finland (382)
				color = { 125 15 15 }
				color2 = { 255 255 255 }
				mordvin = "Suomi"
				karelian = "Suomi"
				samoyed = "Suomi"
				vepsian = "Suomi"
				mari = "Suomi"
				khanty = "Suomi"
				lappish = "Suomi"
				komi = "Suomi"
				finnish = "Suomi"
				ugricbaltic = "Suomi"
				livonian = "Suomi"
				prussian = "Suomi"
				lettigallish = "Suomi"
				lithuanian = "Suomi"
				b_lieto = {}
				b_kuusisto = {
					mordvin = "Kuusisto"
					karelian = "Kuusisto"
					samoyed = "Kuusisto"
					vepsian = "Kuusisto"
					mari = "Kuusisto"
					khanty = "Kuusisto"
					lappish = "Kuusisto"
					komi = "Kuusisto"
					finnish = "Kuusisto"
					ugricbaltic = "Kuusisto"
					livonian = "Kuusisto"
					prussian = "Kuusisto"
					lettigallish = "Kuusisto"
					lithuanian = "Kuusisto"
				}
				b_naantali = {
					mordvin = "Naantali"
					karelian = "Naantali"
					samoyed = "Naantali"
					vepsian = "Naantali"
					mari = "Naantali"
					khanty = "Naantali"
					lappish = "Naantali"
					komi = "Naantali"
					finnish = "Naantali"
					ugricbaltic = "Naantali"
					livonian = "Naantali"
					prussian = "Naantali"
					lettigallish = "Naantali"
					lithuanian = "Naantali"
				}
				b_turku = {
					mordvin = "Turku"
					karelian = "Turku"
					samoyed = "Turku"
					vepsian = "Turku"
					mari = "Turku"
					khanty = "Turku"
					lappish = "Turku"
					komi = "Turku"
					finnish = "Turku"
					ugricbaltic = "Turku"
					livonian = "Turku"
					prussian = "Turku"
					lettigallish = "Turku"
					lithuanian = "Turku"
				}
				b_stenberga = {
					mordvin = "Teinperi"
					karelian = "Teinperi"
					samoyed = "Teinperi"
					vepsian = "Teinperi"
					mari = "Teinperi"
					khanty = "Teinperi"
					lappish = "Teinperi"
					komi = "Teinperi"
					finnish = "Teinperi"
					ugricbaltic = "Teinperi"
					livonian = "Teinperi"
					prussian = "Teinperi"
					lettigallish = "Teinperi"
					lithuanian = "Teinperi"
				}
				#b_kalanti = {
				#	mordvin = "Kalanti"
				#	karelian = "Kalanti"
				#	samoyed = "Kalanti"
				#	vepsian = "Kalanti"
				#	mari = "Kalanti"
				#	khanty = "Kalanti"
				#	lappish = "Kalanti"
				#	komi = "Kalanti"
				#	finnish = "Kalanti"
				#	ugricbaltic = "Kalanti"
				#	livonian = "Kalanti"
				#	prussian = "Kalanti"
				#	lettigallish = "Kalanti"
				#	lithuanian = "Kalanti"
				#}
				#b_salo = {}
			} # end c_finland
			c_nyland = { # Nyland (381)
				color = { 185 65 65 }
				color2 = { 255 255 255 }
				mordvin = "Uusimaa"
				karelian = "Uusimaa"
				samoyed = "Uusimaa"
				vepsian = "Uusimaa"
				mari = "Uusimaa"
				khanty = "Uusimaa"
				lappish = "Uusimaa"
				komi = "Uusimaa"
				finnish = "Uusimaa"
				ugricbaltic = "Uusimaa"
				livonian = "Uusimaa"
				prussian = "Uusimaa"
				lettigallish = "Uusimaa"
				lithuanian = "Uusimaa"
				b_porvoo = {
					mordvin = "Porvoo"
					karelian = "Porvoo"
					samoyed = "Porvoo"
					vepsian = "Porvoo"
					mari = "Porvoo"
					khanty = "Porvoo"
					lappish = "Porvoo"
					komi = "Porvoo"
					finnish = "Porvoo"
					ugricbaltic = "Porvoo"
					livonian = "Porvoo"
					prussian = "Porvoo"
					lettigallish = "Porvoo"
					lithuanian = "Porvoo"
				}
				b_lohja = {
					mordvin = "Lohja"
					karelian = "Lohja"
					samoyed = "Lohja"
					vepsian = "Lohja"
					mari = "Lohja"
					khanty = "Lohja"
					lappish = "Lohja"
					komi = "Lohja"
					finnish = "Lohja"
					ugricbaltic = "Lohja"
					livonian = "Lohja"
					prussian = "Lohja"
					lettigallish = "Lohja"
					lithuanian = "Lohja"
				}
				b_kirkkonummi = {
					mordvin = "Kirkkonummi"
					karelian = "Kirkkonummi"
					samoyed = "Kirkkonummi"
					vepsian = "Kirkkonummi"
					mari = "Kirkkonummi"
					khanty = "Kirkkonummi"
					lappish = "Kirkkonummi"
					komi = "Kirkkonummi"
					finnish = "Kirkkonummi"
					ugricbaltic = "Kirkkonummi"
					livonian = "Kirkkonummi"
					prussian = "Kirkkonummi"
					lettigallish = "Kirkkonummi"
					lithuanian = "Kirkkonummi"
				}
				b_raseborg = {
					mordvin = "Raaseporin"
					karelian = "Raaseporin"
					samoyed = "Raaseporin"
					vepsian = "Raaseporin"
					mari = "Raaseporin"
					khanty = "Raaseporin"
					lappish = "Raaseporin"
					komi = "Raaseporin"
					finnish = "Raaseporin"
					ugricbaltic = "Raaseporin"
					livonian = "Raaseporin"
					prussian = "Raaseporin"
					lettigallish = "Raaseporin"
					lithuanian = "Raaseporin"
				}
				b_jukarsborg = {
					danish = "Junkarsburgh"
					mordvin = "Junkarsborg"
					karelian = "Junkarsborg"
					samoyed = "Junkarsborg"
					vepsian = "Junkarsborg"
					mari = "Junkarsborg"
					khanty = "Junkarsborg"
					lappish = "Junkarsborg"
					komi = "Junkarsborg"
					finnish = "Junkarsborg"
					ugricbaltic = "Junkarsborg"
					livonian = "Junkarsborg"
					prussian = "Junkarsborg"
					lettigallish = "Junkarsborg"
					lithuanian = "Junkarsborg"
				}
				#b_siuntio = {
				#	mordvin = "Siuntio"
				#	karelian = "Siuntio"
				#	samoyed = "Siuntio"
				#	vepsian = "Siuntio"
				#	mari = "Siuntio"
				#	khanty = "Siuntio"
				#	lappish = "Siuntio"
				#	komi = "Siuntio"
				#	finnish = "Siuntio"
				#	ugricbaltic = "Siuntio"
				#	livonian = "Siuntio"
				#	prussian = "Siuntio"
				#	lettigallish = "Siuntio"
				#	lithuanian = "Siuntio"
				#}
				#b_sjundbyn = {
				#	mordvin = "Sjundbyn"
				#	karelian = "Sjundbyn"
				#	samoyed = "Sjundbyn"
				#	vepsian = "Sjundbyn"
				#	mari = "Sjundbyn"
				#	khanty = "Sjundbyn"
				#	lappish = "Sjundbyn"
				#	komi = "Sjundbyn"
				#	finnish = "Sjundbyn"
				#	ugricbaltic = "Sjundbyn"
				#	livonian = "Sjundbyn"
				#	prussian = "Sjundbyn"
				#	lettigallish = "Sjundbyn"
				#	lithuanian = "Sjundbyn"
				#}
				#b_suitia = {
				#	mordvin = "Suitia"
				#	karelian = "Suitia"
				#	samoyed = "Suitia"
				#	vepsian = "Suitia"
				#	mari = "Suitia"
				#	khanty = "Suitia"
				#	lappish = "Suitia"
				#	komi = "Suitia"
				#	finnish = "Suitia"
				#	ugricbaltic = "Suitia"
				#	livonian = "Suitia"
				#	prussian = "Suitia"
				#	lettigallish = "Suitia"
				#	lithuanian = "Suitia"
				#}
				#b_sipoo = {
				#	mordvin = "Sipoonlinna"
				#	karelian = "Sipoonlinna"
				#	samoyed = "Sipoonlinna"
				#	vepsian = "Sipoonlinna"
				#	mari = "Sipoonlinna"
				#	khanty = "Sipoonlinna"
				#	lappish = "Sipoonlinna"
				#	komi = "Sipoonlinna"
				#	finnish = "Sipoonlinna"
				#	ugricbaltic = "Sipoonlinna"
				#	livonian = "Sipoonlinna"
				#	prussian = "Sipoonlinna"
				#	lettigallish = "Sipoonlinna"
				#	lithuanian = "Sipoonlinna"
				#}
			} # end c_nyland
			c_tavasts = { # Tavastland (383)
				color = { 130 20 20 }
				color2 = { 255 255 255 }
				mordvin = "Häme"
				karelian = "Häme"
				samoyed = "Häme"
				vepsian = "Häme"
				mari = "Häme"
				khanty = "Häme"
				lappish = "Häme"
				komi = "Häme"
				finnish = "Häme"
				ugricbaltic = "Häme"
				livonian = "Häme"
				prussian = "Häme"
				lettigallish = "Häme"
				lithuanian = "Häme"
				russian = "Yam"
				b_harviala = {}
				b_hakoisten = {
					danish = "Hagaburgh"
					mordvin = "Hakoisten"
					karelian = "Hakoisten"
					samoyed = "Hakoisten"
					vepsian = "Hakoisten"
					mari = "Hakoisten"
					khanty = "Hakoisten"
					lappish = "Hakoisten"
					komi = "Hakoisten"
					finnish = "Hakoisten"
					ugricbaltic = "Hakoisten"
					livonian = "Hakoisten"
					prussian = "Hakoisten"
					lettigallish = "Hakoisten"
					lithuanian = "Hakoisten"
				}
				b_vanaja = { russian = "Vanai" }
				b_holoola = {}
				b_hameenlinna = {
					norse = "Taffwestaborg"
					mordvin = "Hämeenlinna"
					karelian = "Hämeenlinna"
					samoyed = "Hämeenlinna"
					vepsian = "Hämeenlinna"
					mari = "Hämeenlinna"
					khanty = "Hämeenlinna"
					lappish = "Hämeenlinna"
					komi = "Hämeenlinna"
					finnish = "Hämeenlinna"
					ugricbaltic = "Hämeenlinna"
					livonian = "Hämeenlinna"
					prussian = "Hämeenlinna"
					lettigallish = "Hämeenlinna"
					lithuanian = "Hämeenlinna"
				}
				#b_vesilahti = {
				#	mordvin = "Vesilahti"
				#	karelian = "Vesilahti"
				#	samoyed = "Vesilahti"
				#	vepsian = "Vesilahti"
				#	mari = "Vesilahti"
				#	khanty = "Vesilahti"
				#	lappish = "Vesilahti"
				#	komi = "Vesilahti"
				#	finnish = "Vesilahti"
				#	ugricbaltic = "Vesilahti"
				#	livonian = "Vesilahti"
				#	prussian = "Vesilahti"
				#	lettigallish = "Vesilahti"
				#	lithuanian = "Vesilahti"
				#}
				#b_lahti = {
				#	mordvin = "Lathi"
				#	karelian = "Lathi"
				#	samoyed = "Lathi"
				#	vepsian = "Lathi"
				#	mari = "Lathi"
				#	khanty = "Lathi"
				#	lappish = "Lathi"
				#	komi = "Lathi"
				#	finnish = "Lathi"
				#	ugricbaltic = "Lathi"
				#	livonian = "Lathi"
				#	prussian = "Lathi"
				#	lettigallish = "Lathi"
				#	lithuanian = "Lathi"
				#}
			} # end c_tavasts
			c_satakunta = { # Satakunda (384)
				color = { 116 46 46 }
				color2 = { 255 255 255 }
				mordvin = "Satakunta"
				karelian = "Satakunta"
				samoyed = "Satakunta"
				vepsian = "Satakunta"
				mari = "Satakunta"
				khanty = "Satakunta"
				lappish = "Satakunta"
				komi = "Satakunta"
				finnish = "Satakunta"
				ugricbaltic = "Satakunta"
				livonian = "Satakunta"
				prussian = "Satakunta"
				lettigallish = "Satakunta"
				lithuanian = "Satakunta"
				b_pori = {
					mordvin = "Pori"
					karelian = "Pori"
					samoyed = "Pori"
					vepsian = "Pori"
					mari = "Pori"
					khanty = "Pori"
					lappish = "Pori"
					komi = "Pori"
					finnish = "Pori"
					ugricbaltic = "Pori"
					livonian = "Pori"
					prussian = "Pori"
					lettigallish = "Pori"
					lithuanian = "Pori"
				}
				b_liinmaa = {
					mordvin = "Liinmaa"
					karelian = "Liinmaa"
					samoyed = "Liinmaa"
					vepsian = "Liinmaa"
					mari = "Liinmaa"
					khanty = "Liinmaa"
					lappish = "Liinmaa"
					komi = "Liinmaa"
					finnish = "Liinmaa"
					ugricbaltic = "Liinmaa"
					livonian = "Liinmaa"
					prussian = "Liinmaa"
					lettigallish = "Liinmaa"
					lithuanian = "Liinmaa"
				}
				b_ulvila = {
					mordvin = "Ulvila"
					karelian = "Ulvila"
					samoyed = "Ulvila"
					vepsian = "Ulvila"
					mari = "Ulvila"
					khanty = "Ulvila"
					lappish = "Ulvila"
					komi = "Ulvila"
					finnish = "Ulvila"
					ugricbaltic = "Ulvila"
					livonian = "Ulvila"
					prussian = "Ulvila"
					lettigallish = "Ulvila"
					lithuanian = "Ulvila"
				}
			} # end c_satakunta
			c_savolaks = { # Savolax (390)
				color = { 120 10 10 }
				color2 = { 255 255 255 }
				mordvin = "Savo"
				karelian = "Savo"
				samoyed = "Savo"
				vepsian = "Savo"
				mari = "Savo"
				khanty = "Savo"
				lappish = "Savo"
				komi = "Savo"
				finnish = "Savo"
				ugricbaltic = "Savo"
				livonian = "Savo"
				prussian = "Savo"
				lettigallish = "Savo"
				lithuanian = "Savo"
				b_ristiina = {
					mordvin = "Ristiina"
					karelian = "Ristiina"
					samoyed = "Ristiina"
					vepsian = "Ristiina"
					mari = "Ristiina"
					khanty = "Ristiina"
					lappish = "Ristiina"
					komi = "Ristiina"
					finnish = "Ristiina"
					ugricbaltic = "Ristiina"
					livonian = "Ristiina"
					prussian = "Ristiina"
					lettigallish = "Ristiina"
					lithuanian = "Ristiina"
				}
				b_kuopio = {}
				b_olavinlinna = {
					danish = "Olofsburgh"
					mordvin = "Olavinlinna"
					karelian = "Olavinlinna"
					samoyed = "Olavinlinna"
					vepsian = "Olavinlinna"
					mari = "Olavinlinna"
					khanty = "Olavinlinna"
					lappish = "Olavinlinna"
					komi = "Olavinlinna"
					finnish = "Olavinlinna"
					ugricbaltic = "Olavinlinna"
					livonian = "Olavinlinna"
					prussian = "Olavinlinna"
					lettigallish = "Olavinlinna"
					lithuanian = "Olavinlinna"
				}
				#b_kajaani = {
				#	mordvin = "Kajaani"
				#	karelian = "Kajaani"
				#	samoyed = "Kajaani"
				#	vepsian = "Kajaani"
				#	mari = "Kajaani"
				#	khanty = "Kajaani"
				#	lappish = "Kajaani"
				#	komi = "Kajaani"
				#	finnish = "Kajaani"
				#	ugricbaltic = "Kajaani"
				#	livonian = "Kajaani"
				#	prussian = "Kajaani"
				#	lettigallish = "Kajaani"
				#	lithuanian = "Kajaani"
				#}
				#b_brahelinna = {
				#	mordvin = "Brahelinna"
				#	karelian = "Brahelinna"
				#	samoyed = "Brahelinna"
				#	vepsian = "Brahelinna"
				#	mari = "Brahelinna"
				#	khanty = "Brahelinna"
				#	lappish = "Brahelinna"
				#	komi = "Brahelinna"
				#	finnish = "Brahelinna"
				#	ugricbaltic = "Brahelinna"
				#	livonian = "Brahelinna"
				#	prussian = "Brahelinna"
				#	lettigallish = "Brahelinna"
				#	lithuanian = "Brahelinna"
				#}
				#b_sotkamo = {}
				#b_mikkeli = {
				#	mordvin = "Mikkeli"
				#	karelian = "Mikkeli"
				#	samoyed = "Mikkeli"
				#	vepsian = "Mikkeli"
				#	mari = "Mikkeli"
				#	khanty = "Mikkeli"
				#	lappish = "Mikkeli"
				#	komi = "Mikkeli"
				#	finnish = "Mikkeli"
				#	ugricbaltic = "Mikkeli"
				#	livonian = "Mikkeli"
				#	prussian = "Mikkeli"
				#	lettigallish = "Mikkeli"
				#	lithuanian = "Mikkeli"
				#}
			} # end c_savolaks
		} # end d_finland
		d_viipuri = { # Viipuri
			color = { 186 5 3 }
			color2 = { 255 255 255 }
			capital = 1296 # Viipuri
			culture = karelian
			mordvin = "Viipurii"
			karelian = "Viipurii"
			samoyed = "Viipurii"
			vepsian = "Viipurii"
			mari = "Viipurii"
			khanty = "Viipurii"
			lappish = "Viipurii"
			komi = "Viipurii"
			finnish = "Viipurii"
			ugricbaltic = "Viipurii"
			livonian = "Viipurii"
